"NAME","PERSON_NAME","PERSON_ID"
"QUALCOMM MEMS TECHNOLOGIES, INC.","QUALCOMM MEMS Technologies, Inc.",5216727
"LIFE TECHNOLOGIES CORPORATION","Life Technologies Corporation",5234741
"IBIS BIOSCIENCES, INC.","Ibis Biosciences, Inc.",6386847
"FUJIFILM CORPORATION","Fujifilm Corporation",9048739
"FUJIFILM CORPORATION","FUJI FILM CORPORATION",5276124
"GLYCOREX TRANSPLANTATION AB","Glycorex Transplantation AB",6232596
"INFINEON TECHNOLOGIES AG","Infineon Technologies AG",11703381
"INFINEON TECHNOLOGIES AG","Infineon Technologies AG",10818022
"INFINEON TECHNOLOGIES AG","Infineon Technologies AG",9436509
"WYETH","Wyeth",7613461
"KYPHON SARL","Kyphon Sarl",11050178
"KYPHON SARL","Kyphon SARL",5272577
"BAYER HEALTHCARE LLC","Bayer HealthCare LLC",10556844
"BAYER HEALTHCARE LLC","Bayer HealthCare LLC",7864991
"BAYER HEALTHCARE LLC","Bayer HealthCare LLC.",7193769
"PC-TEL, INC.","PCTEL, Inc.",6282828
"BROADCOM CORPORATION","Broadcom Corporation",6257504
"SPANSION LLC","Spansion LLC.",5857086
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co. Ltd",10245602
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",10498170
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd,",9329966
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",8411769
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",8042270
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",7751635
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics, Co., LTD",7501097
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",7366925
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co. Ltd.,",7309314
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., LTD.,",6659028
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",6441371
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",6277568
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",5970076
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co. Ltd.",5826389
"SAMSUNG ELECTRONICS CO., LTD.","SamSung Electronics Co., Ltd",5473077
"SAMSUNG ELECTRONICS CO., LTD.","Samsung Electronics Co., Ltd.",5229176
"WI-LAN, INC.","Wi-LAN, Inc.",10301278
"WI-LAN, INC.","Wi-LAN, Inc.",6619721
"SIEMENS AKTIENGESELLSCHAFT","Siemens Aktiengesellschaft",6112122
"SIEMENS AKTIENGESELLSCHAFT","Siemens Aktiengesellschaft",5430351
"SIEMENS AKTIENGESELLSCHAFT","Siemens Aktiengesellschaft",5241597
"SIEMENS AKTIENGESELLSCHAFT","Siemens Aktiengesellschaft",5238080
"THOMSON REUTERS (TAX & ACCOUNTING) INC.","Thomson Reuters (Tax & Accounting) Inc.",8786608
"EMC CORPORATION","EMC Corporation",5228459
"REMBRANDT TECHNOLOGIES, LP","Rembrandt Technologies, LP",6962962
"MINDSPARK INTERACTIVE NETWORK, INC.","Mindspark Interactive Network, Inc.",8011632
"PFIZER INC.","Pfizer Inc,",8049929
"PFIZER INC.","Pfizer, Inc.",5732964
"PFIZER INC.","Pfizer Inc.",5572893
"RENESAS ELECTRONICS CORPORATION","Renesas Electronics Corporation",11650184
"RENESAS ELECTRONICS CORPORATION","Renesas Electronics Corporation",10960235
"MICROSOFT CORPORATION","Microsoft Corporation",6607098
"MICROSOFT CORPORATION","Microsoft, Corporation",6519825
"ENGATE LLC","Engate LLC",7603217
"LOGITECH EUROPE S.A.","Logitech Europe S.A.",6384299
"ZIMMER SPINE, INC.","Zimmer Spine, Inc.",5225255
"MOSAID TECHNOLOGIES INCORPORATED","Mosaid Technologies Incorporated",11108601
"L-3 COMMUNICATIONS CORPORATION","L-3 Communications Corporation",47160516
"L-3 COMMUNICATIONS CORPORATION","L3 Communications Corporation",5385457
"ROBELIGHT, LLC","Robelight, LLC",7747756
"ERICSSON AB","Ericsson AB",9021426
"ERICSSON AB","Ericsson, AB",7334038
"NETLOGIC MICROSYSTEMS, INC.","NetLogic Microsystems, Inc",11303706
"NETLOGIC MICROSYSTEMS, INC.","Net Logic Microsystems, Inc.",10265475
"NETLOGIC MICROSYSTEMS, INC.","NetLogic Microsystems, Inc.",5689105
"NETLOGIC MICROSYSTEMS, INC.","Netlogic Microsystems, Inc.",5228201
"AVAYA INC.","Avaya Inc.",11232945
"LEMAITRE VASCULAR, INC.","LeMaitre Vascular, Inc.",7233031
"ILJIN DISPLAY CO., LTD","Iljin Display Co., Ltd.",8893210
"B.H. IMAGE CO. LLC","B.H. Image Co. LLC",8047969
