"NAME","PERSON_NAME","PERSON_ID"
"GENERAL ELECTRIC COMPANY","General Electric Company",48449808
"GENERAL ELECTRIC COMPANY","General Electric Company",47330426
"GENERAL ELECTRIC COMPANY","General Electric Company",47308192
"GENERAL ELECTRIC COMPANY","General Electric Company",6620840
"GENERAL ELECTRIC COMPANY","General Electric Company",7518141
"ABL IP HOLDING LLC","ABL IP Holding LLC",5217140
"ABL IP HOLDING LLC","ABL IP Holding LLC",47328886
"IGT","IGT",11382091
"OASIS LIFESTYLE, LLC","Oasis Lifestyle, LLC",48442633
"CLEVELAND RANGE LLC","Cleveland Range LLC",47183242
"GLOBALFOUNDRIES INC.","GlobalFoundries, Inc.",5703595
"GLOBALFOUNDRIES INC.","GlobalFoundries, Inc.",53490851
"GLOBALFOUNDRIES INC.","GLOBALFOUNDRIES Inc.",53567936
"GLOBALFOUNDRIES INC.","GLOBALFOUNDRIES INC.",52495416
"GLOBALFOUNDRIES INC.","Globalfoundries Inc.",47345874
"PPG INDUSTRIES OHIO, INC.","PPG Industries Ohio Inc.",8513738
"PPG INDUSTRIES OHIO, INC.","PPG Industries Ohio, Inc",5770838
"PRYSMIAN POWER CABLES AND SYSTEMS USA, LLC","Prysmian Power Cables and Systems USA, LLC",50062071
"ETHICON, INC.","Ethicon, Inc.",5254606
"SPANSION LLC","Spansion LLC",11792340
"ALLIANT TECHSYSTEMS INC.","Alliant Techsystems Inc.",11560037
"COMMSCOPE, INC. OF NORTH CAROLINA","CommScope Inc., of North Carolina",11022318
"INTEL CORPORATION","Intel Corporation",5226742
"INTEL CORPORATION","INTELCORPORATION",51501022
"VOLVO CONSTRUCTION EQUIPMENT AB","Volvo-Construction Equipment AB",48408516
"TDK CORPORATION","TDK Corporation",53609365
"TDK CORPORATION","TDK Corporation",48399313
"TDK CORPORATION","TDK CORPORATION",5277315
"CHIMEI INNOLUX CORPORATION","Chimei Innolux Corporation",45201380
"HITACHI, LTD.","Hitachi LTD",5814244
"HITACHI, LTD.","Hitachi, Ltd.",47294573
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT","BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",53624178
"WALBRO ENGINE MANAGEMENT LLC","Walbro Engine Management, L.L.C.",5408792
"PRYSMIAN CAVI E SISTEMI ENERGIA SRL","Prysmian Cavi e Sistemi Energia SrL",8695242
"TRINITY INDUSTRIES, INC.","Trinity Industries, Inc.",5332801
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.","Taiwan Semiconductor Manufacturing Co., Ltd",5243369
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.","Taiwan Semiconductor Manufacturing Co., Ltd.",52548428
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.","Taiwan Semiconductor Manufacturing Co., Ltd",5241497
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.","Taiwan Semiconductor Manufacturing Co., Ltd.",6751308
"OXEA CORPORATION","Oxea Corporation",6219293
"BIOMET MANUFACTURING CORP.","Biomet Manufacturing Corp.",11041773
"EMERSON PROCESS MANAGEMENT VALVE AUTOMATION, INC.","Emerson Process Management, Valve Automation, Inc.",48443851
"EMERSON PROCESS MANAGEMENT VALVE AUTOMATION, INC.","Emerson Process Management, Valve Automation., Inc",48477083
"MITSUBA CORPORATION","Mitsuba Corporation",5215017
"SEIKO INSTRUMENTS, INC","Seiko Instruments Inc.",5246607
"SEIKO INSTRUMENTS, INC","Seiko Instruments Inc.",5404171
"AKZO NOBEL N.V.","Akzo Nobel N.V.",5250258
"TOMY COMPANY, LTD.","Tomy Company, Ltd.",5306384
"ALPHANA TECHNOLOGY CO., LTD.","Alphana Technology Co., Ltd.",10856588
"FLEXTRONICS AUTOMOTIVE INC.","Flextronics Automotive Inc.",5637242
"FLEXTRONICS AUTOMOTIVE INC.","Flextronics Automotive Inc.",7577295
"COBHAM DEFENSE ELECTRONIC SYSTEMS CORPORATION","Cobham Defense Electronic Systems Corporation",7595144
"AMTROL LICENSING INC.","AMTROL Licensing, Inc.",7403880
"FENWAL, INC.","FENWAL INC.",45386951
"WEBASTO AG","Webasto AG",7055382
"TERADATA US, INC.","Teradata US, Inc.",6194783
"INTERNATIONAL PAPER COMPANY","International Paper Company",5725031
"3M INNOVATIVE PROPERTIES COMPANY","3M Innovative Properties Company",5212052
"3M INNOVATIVE PROPERTIES COMPANY","3M Innovative Properties Company",9175939
"3M INNOVATIVE PROPERTIES COMPANY","3M Innovative Properties Company",50033675
"OMG ROOFING, INC.","OMG Roofing, Inc.",5846381
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company L.P.",5233187
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company, L.P.",49952327
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company, L.P.",48307440
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company, L.P.",10491262
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development-Company, L.P.",47324786
"SEIKO INSTRUMENTS INC.","Seiko Instruments Inc.",5521380
"SEIKO INSTRUMENTS INC.","Seiko Instruments, Inc.",6175894
